대분류,중분류,뉴스제목
농업/먹거리,농산물/작황,"""""한때 뚱바나나 라이벌이었는데""""…'93년생 미노스' 돌아온 까닭"
건강,영양/의학,[동영상] 바삭한 에어프라이어 애호박 튀김 #건강간식 #아몬드가루 < Sabrina's Healthy kitchen < 동영상 < 기사본문 - 싱글리스트
경제,수수료/요금,"""남는게 없어요""...가맹점 수수료 인하 3주만에 '혜자카드' 79개 단종"
여행/외식,호텔/외식,22억? 명절 휴게소서 호두과자보다 많이 팔린 '이것'
농업/먹거리,농산물/작황,대파 총선' 대승의 달콤한 추억…'국회요원' 패러디 봇물
건강,영양/의학,독감에 미세먼지까지 유행으로 면역력에 좋은'홍삼'인기
생활,식품/음료,"명절, 휴게소에서 가장 많이 팔린 음식은?···2위는 호두과자·3위는 캔커피"
산업,기업/산업동향,명절 휴게소 음식 매출 2위는 호두과자…1위는?
여행/외식,호텔/외식,명절 휴게소 인기 메뉴 1위는?…호두과자도 '이것'에 밀렸다
경제,수수료/요금,"박지원 """"농어촌공사와 협의, 농지임대 수수료 절반 인하"""""
농업/먹거리,농산물/작황,밤-대추 자주 먹었더니...몸에 어떤 변화가?
농업/먹거리,농산물/작황,배스킨라빈스 '아이스 초코 도쿄바나나' 선봬…2월 이달의 맛
농업/먹거리,농산물/작황,"보리차만 먹다 죽은 2살, 마지막 지킨 사람들"
농업/먹거리,농산물/작황,샤인머스캣은 그게 그거? 당도·무게·모양 1++급 따로 있다 | 중앙일보
사회,사건/사고,설 명절 앞두고 불법 수입된 중국산 대추·땅콩 적발
산업,기업/산업동향,설 연휴 고속도로 휴게소 매출 '급증'… 소비 1위 '아메리카노' 호두과자 제쳐 < 유통 < 경제 < 기사본문 - 천지일보
여행/외식,호텔/외식,설연휴 휴게소 최애 메뉴 2위는 호두과자…1위는 '이것'
농업/먹거리,농산물/작황,"설 차례상 단골인 사과·배, 2070년엔 아예 못 올릴 수도"
농업/먹거리,농산물/작황,아삭아삭한 '당근라페' 만들기…초간단 레시피 싹 공개합니다 | 위키트리
기타,기타,아침에 귀리밥-오트밀 자주 먹었더니...몸에 어떤 변화가?
농업/먹거리,농산물/작황,"이승연 """"죽다 살았다"""" 노로바이러스에 기겁…굴보다 이 채소가 더 위험"
국제,해외동향,지나가던 비행기서 '수박 크기 얼음'이 뚝…박살 난 미국 LA 주택
농업/먹거리,농산물/작황,콩나물냉채 : 네이버 검색
농업/먹거리,농산물/작황,"""""나는 대식가"""" 김혜수, 드레스 입으려 사과 두 알 먹었다고…"
건강,영양/의학,＂달걀 한두 개에 녹차 한잔＂...건강하게 뱃살 빼는 데 좋은 식품은?
경제,물가/가격,[2025 설특집] 농산물 수급·가격 전망 < Issue+ < 이슈 플러스 < 기사본문 - 농수축산신문
경제,물가/가격,"""소고기·홍삼보다 과일혼합세트""…물가가 바꾼 설선물 선호도 [푸드360]"
농업/먹거리,농산물/작황,"다이어트 중일 때… 바나나, 노란색 vs 초록색 더 나은 선택은?"
경제,유통/리테일,롯데리아가 토마토 뺀 버거메뉴를 판매하는 이유?
농업/먹거리,농산물/작황,"사과 대신 망고, 명태 대신 참치…조상님 입맛에 맞으시려나요"
경제,수수료/요금,"송옥주, '결혼중개업체 회비·수수료 사전 공개법' 발의"
농업/먹거리,농산물/작황,"전남도, 임산부 지원 친환경농산물 꾸러미 영유아로 확대"
농업/먹거리,농산물/작황,"차례상에 오른 열대과일, 전통문화 어긋? 마음이 더 중요! :: 경남신문"
농업/먹거리,농산물/작황,초코우유 vs 콩나물국… 해장에 더 도움되는 음식은?
농업/먹거리,농산물/작황,한팩에 2만원하는 딸기 대신에… '과일릭'에 숨은 씁쓸한 역설
농업/먹거리,농산물/작황,"[백투더투데이] """"아빠, 바나나 우유 하나만"""" 1970~90년대 목욕탕"
건강,영양/의학,"'4월 출산' 손담비, 혈당 걱정에 백미 대신 '이것' 먹는다… 뭘까?"
농업/먹거리,농산물/작황,'후지' 사과 꽃눈분화율 '뚝'…가지칠 때 열매가지 많이 남겨야
건강,영양/의학,56세 신애라 동안 비결? 건강한 버섯 떡국에 신기루 감탄 (애라원)[어제TV]
농업/먹거리,농산물/작황,떡국 대신 우유·찹쌀떡…설 밥상 차리는 '서울 속 실크로드'[르포]
농업/먹거리,농산물/작황,오리온이 '생(生)감자칩' 원료로 특허 낸 '이 감자'
농업/먹거리,농산물/작황,요구르트에 딸기 넣어 먹었더니...염증에 어떤 변화가?
농업/먹거리,농산물/작황,편스토랑' 김재중 LA갈비찜·장민호 마늘소스 비빔면 레시피 < 종합 < 연예 < 기사본문 - 국제뉴스
경제,물가/가격,평년보다 따뜻한 겨울···'금사과·금배' 우려 키우나
생활,레시피/요리,홍삼 등 건기식 중고 거래 규정 위반 여전… 식약처 시범 사업 연장될까 - 조선비즈
농업/먹거리,농산물/작황,"""""여보, 사과 갈아먹을까""""…연휴 끝, 쌓인 피로 풀어줄 음식들"
농업/먹거리,농산물/작황,[디지털 라이프]씻고 깎을 필요없는 채소·과일 주스 … '휴롬 주스키트'
경제,유통/리테일,[르포]불고기용 한우에 양파?대파?양념까지…편의점에서 다 살 수 있습니다
농업/먹거리,농산물/작황,'생생정보' 군산 해물탕짬뽕·고구마짜장면 맛집 위치는? 43년 전통 중식당 - 장필구 기자 - 톱스타뉴스
경제,물가/가격,"'생생정보' 김포 '16가지 중화요리 무한리필' 맛집 ""가격 파괴 중식뷔페""…의정부 호원동 육개장만두전골 식당 위치는?? - 장필구 기자 - 톱스타뉴스"
농업/먹거리,농산물/작황,"""과채소 '쓴맛' 즐기면...비만·당뇨 위험 낮아진다"""" 왜? - 코메디닷컴"
농업/먹거리,농산물/작황,"""대기업도 자영업도 그만뒀다""…'딸기농부'로 새길 찾는다"
기타,기타,"""어쩐지 오이·계란 고명 사라졌더라""…10년새 가장 많이 오른 외식메뉴는?"
농업/먹거리,농산물/작황,"""요즘 케이크 사러 빵집 대신 여기 간다더니""…생딸기 올린 이것, 판매량이 무려"
농업/먹거리,농산물/작황,2TV 생생정보' 오늘 맛집은? 16가지 중화요리 무한 리필·만두전골
건강,영양/의학,녹차추출물 등 9종 건강기능식품 재평가 실시
경제,수수료/요금,"샐러드가게 월 매출 1600만원인데 적자, 원인은 배달앱 수수료(사장은 아무나 하나)"
기타,기타,"신기루, 체지방량만 65.5kg 육박…잡곡밥 보고 """"비둘기가 좋아할듯""""('애라원')"
경제,물가/가격,작년 물가급등 '상위 10개 품목' 중 9개가 과일·채소 등 먹거리…이상기후 탓
경제,물가/가격,작년 물가급등 '톱10' 중 9개가 과일·채소…폭염·폭우 이상기후 여파
경제,물가/가격,작년 물가 급등 '톱10' 중 9개가 과일 등 먹거리…이상기후 탓
농업/먹거리,농산물/작황,"파스타 토마토 소스, 당·나트륨 많아… 집에서 만들기 어려울까?"
농업/먹거리,농산물/작황,프라이팬으로 만드는 딸기 수플레 케이크
농업/먹거리,농산물/작황,한팩에 2만원하는 딸기 대신에… '과일릭'에 숨은 씁쓸한 역설 < Today's Pick < In-Depth < 기사본문 - 더스쿠프
기타,기타,"혜민원의 인삼다당체 'NK UP 진산 프리미엄', 종편에서 제품 조명"
경제,물가/가격,"""""금사과 따자"""" 신한·국민카드도 애플페이 도입… 삼성페이 유료화되나"
농업/먹거리,농산물/작황,"""""냉장고 속 재료로 가볍게! 밀가루 글루텐 프리, 채소 듬뿍 잡채!"""" < 소소한 비건레시피 < 생활·건강 < 기사본문 - K스피릿"
경제,물가/가격,"""""맛김 작년 4분기에 24% 올라…고추장·간장도 비싸져"""""
농업/먹거리,농산물/작황,[김기자의 V토크] 무서운 삼산 복숭아… 흥국생명 복덩이 피치
농업/먹거리,농산물/작황,"[자막뉴스] 이상고온에 """"마이너스 농사"""".. 레드향 300그루 베어버렸다"
경제,수수료/요금,'사장은아무나하나' 무서운 배달앱 수수료 | bnt뉴스
기타,기타,'토마토 없는 버거'가 나온 까닭은… '헤징메뉴'가 뜬다
농업/먹거리,농산물/작황,"'63세' 최화정, 방부제 미모 비결 공개..""아침에 무조건 먹는 7가지"" (최화정이에요)"
산업,기업/산업동향,"""국내 프차 중 최초""…신세계푸드 노브랜드 버거, '통마늘 베이컨' 출시"
농업/먹거리,농산물/작황,과일 포장재·기름 먹은 종이는 '일반쓰레기'
농업/먹거리,농산물/작황,네일숍서 '무좀 관리' 받고 체리 건넨 80대 '노신사' 감동 사연의 반전
정치,농정/정책,"당원병 필수식이 '옥수수 전분', 새해부터 정부 지원 받는다 < Rare Disease < News < 기사본문 - 코리아헬스로그"
경제,물가/가격,맛김·고추장·간장까지 식탁물가 줄줄이 인상… 가장 많이 오른 생필품은?
농업/먹거리,농산물/작황,"사과, 귤 후식으로 먹었더니...몸에 어떤 변화가?"
농업/먹거리,농산물/작황,성주 참외 불합리한 관행 개선…농가소득·유통효율성 높인다
산업,기업/산업동향,"오리온, '눈을감자 칠리치즈 프라이즈맛' 출시"
농업/먹거리,농산물/작황,"제라진팜, 서귀포시서부종합사회복지관에 브로콜리 농산물 후원 < 사회 < 기사본문 - 서귀포신문"
기타,기타,한예리 '미나리' 子 앨런 킴 재회 (한국인의 식판) - 스포츠경향
기타,기타,"화천 산천어축제 또 신기록..수십가지 비결, 2.2 대미[함영훈의 멋·맛·쉼] - 헤럴드경제"
